Time (s), Cell Name, Value
260919.931198, C19, 118.4798
260981.10733, C19, 151.2794
260996.301402, C19, 114.8118
261006.897268, C19, 114.3643
261009.09641, C19, 284.7402
261043.682916, C19, 125.243
261055.678236, C19, 109.9752
261066.474024, C19, 168.0425
261073.271372, C19, 105.0352
261111.256552, C19, 107.61
10.795788, C21, 133.2594
12.395164, C21, 139.5962
22.99103, C21, 417.6386
41.783698, C21, 418.8189
53.579096, C21, 135.8585
83.167552, C21, 432.0561
99.961, C21, 242.0697
105.558816, C21, 128.8622
107.158192, C21, 147.1399
123.551796, C21, 203.7579
124.551406, C21, 703.6803
138.146102, C21, 743.7579
153.93994, C21, 231.3301
159.9376, C21, 191.3398
179.330034, C21, 166.0638
183.728318, C21, 337.6262
188.326524, C21, 244.5847
306.080582, C21, 303.8659
307.87988, C21, 122.3727
337.268414, C21, 251.5909
339.067712, C21, 121.9427
340.86701, C21, 155.5138
348.264124, C21, 151.806
351.063032, C21, 233.4621
362.85843, C21, 254.7793
370.655388, C21, 265.4023
373.654218, C21, 122.6792
380.651488, C21, 182.4844
387.448836, C21, 141.2671
393.84634, C21, 268.368
399.044312, C21, 240.578
443.626918, C21, 118.6273
496.406326, C21, 144.1262
508.80149, C21, 207.5897
582.372786, C21, 227.6683
622.357186, C21, 136.369
675.336516, C21, 148.4881
69465.500258, C21, 162.7082
69486.49206800001, C21, 314.1877
69526.27654599999, C21, 253.5767
69530.67483, C21, 174.537
69551.466718, C21, 224.4518
69557.264455, C21, 396.427
69567.26055599999, C21, 247.0861
69574.257826, C21, 636.803
69618.040744, C21, 224.2583
69671.219996, C21, 219.0202
69674.218826, C21, 308.8185
69677.41757799999, C21, 178.2232
69690.41250799999, C21, 296.7336
69697.809622, C21, 213.3682
69716.202446, C21, 254.5997
69748.18996600001, C21, 188.402
69757.786222, C21, 260.5565
69933.317738, C21, 299.6473
69941.51454, C21, 241.2551
69950.111185, C21, 468.6003
69958.907754, C21, 165.2981
70012.48685, C21, 304.7968
70022.682872, C21, 166.0709
70174.623592, C21, 225.0186
70238.39870999999, C21, 335.9493
70280.58225199999, C21, 307.2303
70525.890466, C21, 304.5816
70578.27003, C21, 343.5123
70602.26067, C21, 597.9974
70632.24897, C21, 419.5289
70709.41886200001, C21, 269.031
70750.80271600001, C21, 237.0473
70752.602014, C21, 258.4738
70822.774636, C21, 272.5076
70849.964028, C21, 288.0749
70884.35061199999, C21, 320.7233
70893.14718, C21, 240.7351
70943.927368, C21, 319.4022
71084.07269, C21, 256.8037
71115.0606, C21, 269.9282
71135.452644, C21, 509.9272
71155.844688, C21, 476.1164
71163.441724, C21, 300.5783
71179.435484, C21, 254.2305
71196.628776, C21, 228.2964
71244.41013400001, C21, 478.4894
71249.808028, C21, 358.0728
71256.20553200001, C21, 494.2639
71338.57339600001, C21, 324.3013
71353.96739000001, C21, 633.7974
84449.368412, C21, 324.1978
84461.563654, C21, 229.798
84471.359832, C21, 279.0283
84490.952188, C21, 244.8222
84561.72457599999, C21, 531.8055
84569.32161100001, C21, 272.5707
84585.715216, C21, 694.0509
84595.11155, C21, 230.8836
84603.90811800001, C21, 353.8227
84606.507104, C21, 294.9258
84612.304842, C21, 382.7209
84616.50320399999, C21, 267.0822
